"By administrative divisions(eup, myeon, dong)",2018
"By administrative divisions(eup, myeon, dong)",Total population (Person)
"Jangseong-gun",41850
"Wando-gun",48340
"Jindo-gun",29366
"Sinan-gun",35639
"Gyeongsangbuk-do",2672902
"Pohang-si",504382
"Nam-gu",236268
"Buk-gu",268114
"Gyeongju-si",264282
"Gimcheon-si",139894
"Andong-si",162186
"Gumi-si",422195
"Yeongju-si",107034
"Yeongcheon-si",98686
"Sangju-si",97558
"Mungyeong-si",68895
"Gyeongsan-si",284517
"Gunwi-gun",22277
"Uiseong-gun",49621
"Cheongsong-gun",24160
"Yeongyang-gun",16559
"Yeongdeok-gun",36096
"Cheongdo-gun",40878
"Goryeong-gun",32660
"Seongju-gun",41299
"Chilgok-gun",120983
"Yecheon-gun",51082
"Bonghwa-gun",30872
"Uljin-gun",48057
"Ulleung-gun",8729
"Gyeongsangnam-do",3350350
"Jinju-si",352333
"Tongyeong-si",131407
"Sacheon-si",112248
"Gimhae-si",539401
"Miryang-si",103762
"Geoje-si",252889
"Yangsan-si",344993
"Changwon-si",1044215
"Uichang-gu",251931
"Seongsan-gu",225894
"Masanhappo-gu",178431
"Masanhoewon-gu",197683
"Jinhae-gu",190276
"Uiryeong-gun",26401
"Haman-gun",67520
"Changnyeong-gun",62703
"Goseong-gun",51778
"Namhae-gun",42696
"Hadong-gun",43001
"Sancheong-gun",34122
"Hamyang-gun",38005
"Geochang-gun",60020
"Hapcheon-gun",42856
"Jeju",658282
"Jeju-si",482932
"Seogwipo-si",175350
