date	title
2020.01.14	"[""알리바바커피앤도넛, 추억의 '달고나'로 3가지 신메뉴 출시"", '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...', '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...', '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...', '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...', '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...', '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...', '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...', '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...', '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...', '커피배달 프랜차이즈 ‘달리는 커피’ 신메뉴 출시하며 20-30대 젊은층에서 인...']"
2020.01.15	"[""알리바바커피앤도넛 '달고나'를 얹은 겨울 신메뉴 3종 출시"", ""'친한 예능' 제작진의 음모, 요리하며 대화 나눈 것이 모두 문제로?…배우 차..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러..."", ""[종합] '친한 예능' 브루노, 로빈과 갈치잡이 어선 타고…17세 태권도 배우러...""]"
2020.01.16	"['알리바바커피앤도넛, 뉴트로 감성의 신메뉴 ‘달고나 시리즈’ 3종 출시', ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업"", ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업"", ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업"", ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업"", ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업"", ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업"", ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업"", ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업"", ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업"", ""요거프레소, 1050 전 연령 사로잡은 '쑥임자, 달고나' 메뉴 라인업""]"
2020.01.17	"['알리바바커피앤도넛,\xa0신메뉴\xa0달고나\xa03종\xa0출시\xa0""지금까지의\xa0달고나는\xa0모...']"
2020.01.18	[]
2020.01.19	[]
2020.01.20	[]
2020.01.21	"[""요거프레소X카카오톡 선물하기, 핫한 '메뉴 페어링' 새해 한정SET 출시""]"
2020.01.22	[]
2020.01.23	"[""요거프레소, '펀슈머' 공략 성공…쫀득한 즐거움 '버블 시리즈' 100만 잔 돌파"", '설 연휴, 가족과 함께 경남 관광지로 오세요', '설 연휴, 가족과 함께 경남 관광지로 오세요', '설 연휴, 가족과 함께 경남 관광지로 오세요', '설 연휴, 가족과 함께 경남 관광지로 오세요', '설 연휴, 가족과 함께 경남 관광지로 오세요', '설 연휴, 가족과 함께 경남 관광지로 오세요', '설 연휴, 가족과 함께 경남 관광지로 오세요', '설 연휴, 가족과 함께 경남 관광지로 오세요', '설 연휴, 가족과 함께 경남 관광지로 오세요', '설 연휴, 가족과 함께 경남 관광지로 오세요']"
