date	title	title_tokken	title_imp_tokken
2020.01.11	[]	[('[]', 'Punctuation')]	[]
2020.01.12	[]	[('[]', 'Punctuation')]	[]
2020.01.13	[]	[('[]', 'Punctuation')]	[]
2020.01.14	[]	[('[]', 'Punctuation')]	[]
2020.01.15	[]	[('[]', 'Punctuation')]	[]
2020.01.16	"[""'당색 거리두기' 나선 한국당...김용균법 시행일에 '공익신고자' 영입"", '창백한 우화(寓話)로 들려주는 우리들의 삶', '창백한 우화(寓話)로 들려주는 우리들의 삶', '창백한 우화(寓話)로 들려주는 우리들의 삶', '창백한 우화(寓話)로 들려주는 우리들의 삶', '창백한 우화(寓話)로 들려주는 우리들의 삶', '창백한 우화(寓話)로 들려주는 우리들의 삶', '창백한 우화(寓話)로 들려주는 우리들의 삶', '창백한 우화(寓話)로 들려주는 우리들의 삶', '창백한 우화(寓話)로 들려주는 우리들의 삶', '창백한 우화(寓話)로 들려주는 우리들의 삶']"	"[('[""\'', 'Punctuation'), ('당', 'Modifier'), ('색', 'Noun'), ('거리', 'Noun'), ('두기', 'Noun'), (""'"", 'Punctuation'), ('나선', 'Noun'), ('한국', 'Noun'), ('당', 'Suffix'), ('...', 'Punctuation'), ('김용균', 'Noun'), ('법', 'Noun'), ('시행일', 'Noun'), ('에', 'Josa'), (""'"", 'Punctuation'), ('공익', 'Noun'), ('신고', 'Noun'), ('자', 'Suffix'), (""'"", 'Punctuation'), ('영', 'Modifier'), ('입', 'Noun'), ('"",', 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('창백한', 'Adjective'), ('우화', 'Noun'), ('(', 'Punctuation'), ('寓話', 'Foreign'), (')', 'Punctuation'), ('로', 'Noun'), ('들려주는', 'Verb'), ('우리', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('삶', 'Noun'), (""']"", 'Punctuation')]"	['색', '거리', '두기', '나선', '한국', '김용균', '법', '시행일', '공익', '신고', '입', '창백한', '우화', '로', '우리', '삶', '창백한', '우화', '로', '우리', '삶', '창백한', '우화', '로', '우리', '삶', '창백한', '우화', '로', '우리', '삶', '창백한', '우화', '로', '우리', '삶', '창백한', '우화', '로', '우리', '삶', '창백한', '우화', '로', '우리', '삶', '창백한', '우화', '로', '우리', '삶', '창백한', '우화', '로', '우리', '삶', '창백한', '우화', '로', '우리', '삶']
2020.01.17	[]	[('[]', 'Punctuation')]	[]
2020.01.18	['15년 시집살이에도 ‘외국인’ 차별… 하소연할 곳도 가족뿐 [대한민국 신인간...']	"[(""['"", 'Punctuation'), ('15년', 'Number'), ('시집살이', 'Noun'), ('에도', 'Josa'), ('‘', 'Foreign'), ('외국인', 'Noun'), ('’', 'Punctuation'), ('차별', 'Noun'), ('…', 'Punctuation'), ('하소연', 'Noun'), ('할', 'Verb'), ('곳도', 'Noun'), ('가족', 'Noun'), ('뿐', 'Suffix'), ('[', 'Punctuation'), ('대한민국', 'Noun'), ('신', 'Modifier'), ('인간', 'Noun'), (""...']"", 'Punctuation')]"	['시집살이', '외국인', '차별', '하소연', '곳도', '가족', '대한민국', '인간']
2020.01.19	[]	[('[]', 'Punctuation')]	[]
2020.01.20	[]	[('[]', 'Punctuation')]	[]
2020.01.21	['[이상헌, 바깥길] ‘사방의 이웃’을 두려워할 때', '[마음 읽기] 힐링과 성찰', '[마음 읽기] 힐링과 성찰', '[마음 읽기] 힐링과 성찰', '[마음 읽기] 힐링과 성찰', '[마음 읽기] 힐링과 성찰', '[마음 읽기] 힐링과 성찰', '[마음 읽기] 힐링과 성찰', '[마음 읽기] 힐링과 성찰', '[마음 읽기] 힐링과 성찰', '[마음 읽기] 힐링과 성찰']	"[(""['["", 'Punctuation'), ('이상헌', 'Noun'), (',', 'Punctuation'), ('바깥', 'Noun'), ('길', 'Noun'), (']', 'Punctuation'), ('‘', 'Foreign'), ('사방', 'Noun'), ('의', 'Josa'), ('이웃', 'Noun'), ('’', 'Punctuation'), ('을', 'Josa'), ('두려워', 'Adjective'), ('할', 'Verb'), ('때', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""',"", 'Punctuation'), (""'["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('과', 'Josa'), ('성찰', 'Noun'), (""']"", 'Punctuation')]"	['이상헌', '바깥', '길', '사방', '이웃', '두려워', '때', '마음', '힐링', '성찰', '마음', '힐링', '성찰', '마음', '힐링', '성찰', '마음', '힐링', '성찰', '마음', '힐링', '성찰', '마음', '힐링', '성찰', '마음', '힐링', '성찰', '마음', '힐링', '성찰', '마음', '힐링', '성찰', '마음', '힐링', '성찰']
2020.01.22	[]	[('[]', 'Punctuation')]	[]
2020.01.23	[]	[('[]', 'Punctuation')]	[]
2020.01.24	['[마음 읽기] 힐링의 공간과 인문적 성찰']	"[(""['["", 'Punctuation'), ('마음', 'Noun'), ('읽기', 'Verb'), (']', 'Punctuation'), ('힐링', 'Noun'), ('의', 'Josa'), ('공간', 'Noun'), ('과', 'Josa'), ('인문', 'Noun'), ('적', 'Suffix'), ('성찰', 'Noun'), (""']"", 'Punctuation')]"	['마음', '힐링', '공간', '인문', '성찰']
2020.01.25	[]	[('[]', 'Punctuation')]	[]
2020.01.26	['[스페인 인포르메] Zara의 나라, 패션 산업의 강국 스페인']	"[(""['["", 'Punctuation'), ('스페인', 'Noun'), ('인포', 'Noun'), ('르메', 'Noun'), (']', 'Punctuation'), ('Zara', 'Alpha'), ('의', 'Noun'), ('나라', 'Noun'), (',', 'Punctuation'), ('패션', 'Noun'), ('산업', 'Noun'), ('의', 'Josa'), ('강국', 'Noun'), ('스페인', 'Noun'), (""']"", 'Punctuation')]"	['스페인', '인포', '르메', '의', '나라', '패션', '산업', '강국', '스페인']
2020.01.27	[]	[('[]', 'Punctuation')]	[]
2020.01.28	['[경인칼럼]거리와 사이의 역설', '펭수에게 입덕할 수밖에 없는 이유', '펭수에게 입덕할 수밖에 없는 이유', '펭수에게 입덕할 수밖에 없는 이유', '펭수에게 입덕할 수밖에 없는 이유', '펭수에게 입덕할 수밖에 없는 이유', '펭수에게 입덕할 수밖에 없는 이유', '펭수에게 입덕할 수밖에 없는 이유', '펭수에게 입덕할 수밖에 없는 이유', '펭수에게 입덕할 수밖에 없는 이유', '펭수에게 입덕할 수밖에 없는 이유']	"[(""['["", 'Punctuation'), ('경인', 'Noun'), ('칼럼', 'Noun'), (']', 'Punctuation'), ('거리', 'Noun'), ('와', 'Josa'), ('사이', 'Noun'), ('의', 'Josa'), ('역설', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('펭수', 'Noun'), ('에게', 'Josa'), ('입덕', 'Noun'), ('할', 'Verb'), ('수', 'Noun'), ('밖에', 'Josa'), ('없는', 'Adjective'), ('이유', 'Noun'), (""']"", 'Punctuation')]"	['경인', '칼럼', '거리', '사이', '역설', '펭수', '입덕', '수', '없는', '이유', '펭수', '입덕', '수', '없는', '이유', '펭수', '입덕', '수', '없는', '이유', '펭수', '입덕', '수', '없는', '이유', '펭수', '입덕', '수', '없는', '이유', '펭수', '입덕', '수', '없는', '이유', '펭수', '입덕', '수', '없는', '이유', '펭수', '입덕', '수', '없는', '이유', '펭수', '입덕', '수', '없는', '이유', '펭수', '입덕', '수', '없는', '이유']
2020.01.29	[]	[('[]', 'Punctuation')]	[]
2020.01.30	[]	[('[]', 'Punctuation')]	[]
2020.01.31	"['WHO ""신종코로나 여행제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고', 'WHO ""신종 코로나 여행‧무역 제한, 비례성 살펴야"" 권고']"	"[(""['"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""',"", 'Punctuation'), (""'"", 'Punctuation'), ('WHO', 'Alpha'), ('""', 'Punctuation'), ('신종', 'Noun'), ('코로나', 'Noun'), ('여행', 'Noun'), ('‧', 'Foreign'), ('무역', 'Noun'), ('제한', 'Noun'), (',', 'Punctuation'), ('비례', 'Noun'), ('성', 'Suffix'), ('살펴야', 'Verb'), ('""', 'Punctuation'), ('권고', 'Noun'), (""']"", 'Punctuation')]"	['신종', '코로나', '여행', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고', '신종', '코로나', '여행', '무역', '제한', '비례', '권고']
2020.02.01	[]	[('[]', 'Punctuation')]	[]
2020.02.02	[]	[('[]', 'Punctuation')]	[]
2020.02.03	[]	[('[]', 'Punctuation')]	[]
2020.02.04	[]	[('[]', 'Punctuation')]	[]
2020.02.05	[]	[('[]', 'Punctuation')]	[]
2020.02.06	[]	[('[]', 'Punctuation')]	[]
2020.02.07	[]	[('[]', 'Punctuation')]	[]
2020.02.08	[]	[('[]', 'Punctuation')]	[]
2020.02.09	[]	[('[]', 'Punctuation')]	[]
2020.02.10	[]	[('[]', 'Punctuation')]	[]
